id,title,source_url,final_url,domain,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,content_hash,url,source_domain,source_file,crawl_time,content_length
PUBEXP000001,清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:24+08:00,校园办事,public,public_expansion_v1,f99f9852c4fb101c1e858804965408008c00a8aba0bd318ebacc03408b696b1f,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000001_清华大学信息化技术中心.md,2026-08-12T19:50:24+08:00,609
PUBEXP000002,核心机房运行,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:25+08:00,校园办事,public,public_expansion_v1,46d9fe5581c1e3c6c90313e8dcbaeb9a026144bed8ca168d0bc02a31c66aeb5c,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000002_核心机房运行.md,2026-08-12T19:50:25+08:00,824
PUBEXP000003,校园网络运行,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:26+08:00,校园办事,public,public_expansion_v1,4201d8aac081d6852e0f0cbdabd21fe461b3e81c0917c40ecf0f6bfd652fc04e,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000003_校园网络运行.md,2026-08-12T19:50:26+08:00,1136
PUBEXP000004,网络信息安全,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:27+08:00,校园办事,public,public_expansion_v1,74756e13f410019a2f6975a3d5fa9436b7902fb501816ec3319d776406075d6f,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000004_网络信息安全.md,2026-08-12T19:50:27+08:00,877
PUBEXP000005,用户服务,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:28+08:00,校园相关,public,public_expansion_v1,f7851785bc7036ec832749579a89b913929942648d5d739e23a29f3932f2cdec,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000005_用户服务.md,2026-08-12T19:50:28+08:00,601
PUBEXP000006,教学环境服务,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:29+08:00,新生入校,public,public_expansion_v1,511e31a0a89b9605ca167f2803fa8187761518487ba399655c4c87fa80765d75,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000006_教学环境服务.md,2026-08-12T19:50:29+08:00,1116
PUBEXP000007,信息资源服务,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:50:29+08:00,校园生活,public,public_expansion_v1,172f8d834bdb5576944ba60e168199525c952fc11355994b13c6b9934f9ab86f,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000007_信息资源服务.md,2026-08-12T19:50:29+08:00,781
PUBEXP000008,热门排序-清华大学图书馆,https://lib.tsinghua.edu.cn/fwbl/rmpx.htm,https://lib.tsinghua.edu.cn/fwbl/rmpx.htm,lib.tsinghua.edu.cn,,,2026-08-12T19:50:31+08:00,新生入校,public,public_expansion_v1,8f165282e8d39b61ff77a110f3c9b512883a72ee8333b5e5af0dcc36ea1d96f9,https://lib.tsinghua.edu.cn/fwbl/rmpx.htm,lib.tsinghua.edu.cn,cleaned/PUBEXP000008_热门排序-清华大学图书馆.md,2026-08-12T19:50:31+08:00,423
PUBEXP000009,图书借还-清华大学图书馆,https://lib.tsinghua.edu.cn/jy/tsjh.htm,https://lib.tsinghua.edu.cn/jy/tsjh.htm,lib.tsinghua.edu.cn,,,2026-08-12T19:50:32+08:00,校园相关,public,public_expansion_v1,41c11a0f961c1ed2fee21947a21ea4bc041760f03e5b55f48380462c6051aed1,https://lib.tsinghua.edu.cn/jy/tsjh.htm,lib.tsinghua.edu.cn,cleaned/PUBEXP000009_图书借还-清华大学图书馆.md,2026-08-12T19:50:32+08:00,653
PUBEXP000010,图书馆报告厅-清华大学图书馆,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,lib.tsinghua.edu.cn,,,2026-08-12T19:50:34+08:00,新生入校,public,public_expansion_v1,9ff485b5d803fb90b0df53c9a526089790407d578a5871fa6592dc863d0c84f0,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,lib.tsinghua.edu.cn,cleaned/PUBEXP000010_图书馆报告厅-清华大学图书馆.md,2026-08-12T19:50:34+08:00,707
PUBEXP000011,清华大学图书馆新生专栏,http://lib.tsinghua.edu.cn/newstudents,https://lib.tsinghua.edu.cn/newstudents,lib.tsinghua.edu.cn,,,2026-08-12T19:50:56+08:00,新生入校,public,public_expansion_v1,2d30430623105af489f0192ced912de11a2a7bc955be25594a0a6bb783373165,http://lib.tsinghua.edu.cn/newstudents,lib.tsinghua.edu.cn,cleaned/PUBEXP000011_清华大学图书馆新生专栏.md,2026-08-12T19:50:56+08:00,1035
